차량번호,노선코드,노선명,CTN,IMEI,MAC,설치등록일시,최종수정일시
서울74사1599,104000014,40,01236249809,86301807354296,68EDA485D8FC,250716004042,
서울74사5025,104000014,40,01236258954,86301807354646,68EDA485DC52,250403011847,250628010644
서울74사6352,199100000,100,01225000049,86301807000049,68EDA4000049,250719000000,
서울74사3483,100100549,100,01236244698,86301807354258,68EDA485D720,250501192952,250626002519
서울74사6357,100100549,100,01236243669,86301807354250,68EDA485DE78,250501194641,250626010927
서울74사3519,100100549,100,01236299047,86301807354784,68EDA485DE8E,250326231440,250626000323
